rank,who,times,rating
789,adedalic,53,2179
789,jacobtpl,40,2179
789,praran26,93,2179
789,HXLLL,9,2179
789,DongwonShin,11,2179
789,___tutis___,47,2179
789,sy_chen,20,2179
789,JafarIsBack,4,2179
797,FeIi,75,2178
797,znirzej,32,2178
797,xht13127,18,2178
797,wbyyui,11,2178
801,hey_boris,80,2177
801,Splashing,50,2177
801,Msuale,10,2177
804,spiderbatman,84,2176
804,TonySnark,133,2176
804,budro,38,2176
804,Kuha,76,2176
804,HbFS-,18,2176
804,HHzzkk,36,2176
804,Maniac_Wallnut,23,2176
804,.Ali.,6,2176
804,NephrenRuq,7,2176
813,forest,51,2175
813,Liupeiliang,16,2175
813,kjp4155,27,2175
813,paulinia,55,2175
813,BohdanPastuschak,63,2175
818,besher,41,2174
818,Atlantis592,15,2174
818,N3SL,35,2174
818,vovacomua,43,2174
818,Antoine,39,2174
823,osmanorhan,64,2173
823,sparkuggz,18,2173
823,NgocHai,52,2173
823,fkount,12,2173
823,bestFy,38,2173
823,taow,12,2173
829,falanga,58,2172
829,sirknightingfail,5,2172
829,smirnov.i,60,2172
829,lanpang,35,2172
829,mengbierr,19,2172
829,readers1,6,2172
835,buko,86,2171
835,Omelianenko,159,2171
837,Eliden,13,2170
837,csy2005,20,2170
837,gzy_cjoier,9,2170
837,Tiricabira,16,2170
841,lsmll,30,2169
841,__W__,10,2169
841,zyyorz,9,2169
844,liujunhao,38,2168
844,HamidK,72,2168
844,Jatana,96,2168
844,sava-cska,37,2168
844,Hayven,5,2168
849,JoudZouzou,148,2167
849,lzw4896s,31,2167
849,cxaphoenix,49,2167
849,I_love_Maria_Ivanova,98,2167
849,yukuai26,8,2167
854,E.Space,9,2166
855,glebushka98,39,2165
855,andrey.zavarin,14,2165
855,koganeser,23,2165
855,MrMiroticccc,8,2165
859,waltz7l9,5,2164
859,AlphaRazra,45,2164
859,kek1234,9,2164
859,yellowbag,5,2164
859,zbww,21,2164
864,chenmark,116,2163
864,okaduki1,68,2163
864,frank_c1,36,2163
864,TripleM5da,100,2163
864,Danylo99,68,2163
864,Suika_predator,25,2163
870,ipavlov,38,2162
870,VladaMG98,84,2162
870,mbrc,62,2162
870,AwIDoK,34,2162
870,SD_le,7,2162
870,LuckyPants,10,2162
870,iloveUtaha,10,2162
870,xzm2001,36,2162
870,nqiiii,6,2162
879,Ownz,28,2161
879,Snezhok,57,2161
879,q707185547,29,2161
879,Yukimai,16,2161
879,I_am_Faded,23,2161
879,qlmupi,25,2161
879,yuvalsalant,4,2161
886,FiveAtomTree,19,2160
886,AomeII,39,2160
886,Equinox,29,2160
886,gyc20000710,7,2160
886,iamunstoppable,11,2160
886,igoodvegetableb,8,2160
886,tnbt,5,2160
893,jasonyik,34,2159
893,Z0RR0,94,2159
893,splucs,29,2159
893,paulica,43,2159
893,Sheng_D_Bao,10,2159
898,TIanLiangLe,10,2158
898,yuma_,18,2158
900,WhatTheFua,69,2157
900,alex_world,98,2157
900,Vanek,51,2157
900,manoprenko,38,2157
900,koyumeishi,58,2157
900,ec24,98,2157
906,Mogby,57,2156
906,shananton,37,2156
906,meeeep,50,2156
906,vsp4,116,2156
906,Noam527,39,2156
906,Iroha.Isshiki,4,2156
906,61615601,5,2156
913,akovski,45,2155
913,Whalanator,54,2155
913,hekai,18,2155
913,PItS,9,2155
913,negiizhao,11,2155
913,ShadowFaIl,6,2155
919,Breakun,57,2154
919,Sindweller,41,2154
919,MAMBA,30,2154
919,wintersky,21,2154
919,zsyzsy,13,2154
924,_peanut,6,2153
924,Brimix,52,2153
924,dsyhy,20,2153
924,Jiang_Zemin,8,2153
924,MrMiroticc,5,2153
929,liangjs,12,2152
929,sasasagagaga,63,2152
929,wxy_z,32,2152
929,Efina,11,2152
929,xdc2017,15,2152
929,Sooke,12,2152
929,sorry_teamskiy,3,2152
936,trilis,52,2151
936,ulna,87,2151
936,WreckingBall,21,2151
936,T1rex,36,2151
936,threeinches,12,2151
936,fyy2603,19,2151
936,jjang,5,2151
943,natalia,70,2150
943,LCM,70,2150
943,ReaLNero,43,2150
943,born2rule,76,2150
943,xpchf,33,2150
943,codejudge,7,2150
949,nk.karpov,44,2149
949,Van,18,2149
949,msaska9,52,2149
949,victorsenam,80,2149
949,liymbear,5,2149
949,danya.smelskiy,78,2149
949,Saboon,49,2149
956,PrashantM,115,2148
956,dark_n8,33,2148
956,_Kuroni_,25,2148
956,shadowfalI,5,2148
956,peanutpedo20,3,2148
961,fksquare,22,2147
961,Lollipop,43,2147
961,subconscious,19,2147
961,Jakube,68,2147
961,RiHL,37,2147
961,XZA,17,2147
961,HIT_Zero,41,2147
961,ShadowFall,5,2147
969,Flyrise,121,2146
969,omochan,11,2146
969,16silver,20,2146
969,father,8,2146
973,elizarov,32,2145
973,TheHellBoy,8,2145
973,ae04071,30,2145
973,_ChenKerui,2,2145
973,gangpener,38,2145
978,GaryYe,106,2144
978,lyk248289469,14,2144
978,MrMirotic,28,2144
978,PinkRabbit,41,2144
978,616156,17,2144
978,jhdjames37,8,2144
978,VisJiao,14,2144
978,SidneyJupiter,5,2144
978,Tom--CCS,14,2144
987,Emiso,97,2143
987,KhaleD_,28,2143
987,cen,55,2143
987,xb0nS,15,2143
991,thinfaifai,31,2142
991,NVAL,171,2142
991,linjek,74,2142
991,maks1906,57,2142
991,spacewalker,28,2142
991,Minnakhmetov,63,2142
991,yashChandnani,57,2142
991,kessido,30,2142
991,antony191,13,2142
991,antontrygubO_o,28,2142
1001,gen,118,2141
1001,pmnox,18,2141
1001,poisonous,13,2141
1001,GinghouLuk,17,2141
1001,Bruteforceman,39,2141
1001,wawawa1998,11,2141
1007,niquefa_diego,75,2140
1007,balakrishnan,218,2140
1007,kb.,136,2140
1007,MissMyDearest,41,2140
1007,fengsuiyan,32,2140
1007,denis2111,45,2140
1007,Giove,21,2140
1007,zerolin,8,2140
1007,LzyRapx,5,2140
1016,romanasa,41,2139
1016,Khanova,58,2139
1016,Basement,17,2139
1016,olphe,69,2139
1016,Helli.code,14,2139
1021,ComradePetr,43,2138
1021,koci,50,2138
1021,Nicola95,34,2138
1021,Zarxdy34,24,2138
1021,KyleYoung,12,2138
1021,AddRadio,8,2138
1021,Faithful,5,2138
1021,FakeP,3,2138
1029,1NCID3R,26,2137
1029,cristina_borza,18,2137
1029,ljt12138,21,2137
1029,Akinorew,54,2137
1029,rainy_season,10,2137
1029,Artistic_Fantasy,11,2137
1029,coach.31,5,2137
1036,naagi,176,2136
1036,mika_,21,2136
1036,bk2dcradle,43,2136
1036,waItz7I9,6,2136
1036,Stastomash,83,2136
1036,cuom1999,40,2136
1036,malfple,17,2136
1036,chpipis,67,2136
1036,RNS_KSB,8,2136
1036,w4ynebbcola,15,2136
1046,ltaravilse,55,2135
1046,123a6bcw,56,2135
1046,pachico,11,2135
1046,arthurCF,83,2135
1046,hmc,20,2135
1051,nblt,9,2134
1051,Nero,116,2134
1051,Heart_Pink,22,2134
1051,Marckess,36,2134
1051,AnzheWang,27,2134
